contentid,contenttypeid,title,addr1,addr2,sigungucode,mapx,mapy,tel,firstimage,cpyrhtDivCd,lclsSystm1,lclsSystm2,lclsSystm3,overview,homepage,business_hours,closed_days,fee,event_period
2373204,12,경성 부민관 폭탄 의거지,서울특별시 중구 세종대로 125 (태평로1가),,24,126.9768017026,37.5675596526,,http://tong.visitkorea.or.kr/cms/resource/30/3077530_image2_1.JPG,Type3,HS,HS01,HS011200,"경성 부민관 폭탄 의거지는 경성부민관에서 친일파가 주도하는 대회를 방해하기 위해 폭탄을 터트린 곳이다. 1945년 7월 24일 경성부민관 폭탄 의거 경성부민관은 1935년 12월 태평동 60번지에 세워진 경성부의 부립극장으로 오늘날로 하면 시립극장이다. 경성부민관은 지하 1층, 지상 3층에 대강당·중강당·소강당·담화실 등을 갖춘 다목적 회관으로서 당시로는 드물게 냉난방 시설과 조명·음향시설을 갖추어 각종 극단의 공연은 물론 전시 총동원 체제 아래 각종 관변 집회의 장소로 널리 이용되었다. 경성부민관 폭탄의거를 주도한 조문기·유만수·우동학·강윤국 등 당시 20세 안팎의 열혈 청년들은 1945년 5월 서울 종로구 관수동 13번지 유만수의 집에서 대한애국청년당을 결성하고 항일투쟁의 기회를 엿보았다. 1945년 7월 24일 저녁 경성부민관에서 친일파 거두인 대의당의 박춘금 일당이 주최하는 아세아민족분격대회가 열린다는 보도가 나오자 조문기 등은 비밀회합을 갖고 대회장을 폭파할 계획을 세웠다. 이를 위해 유만수가 수색변전소 공사장 발파 인부로 침투해 빼낸 다이너마이트로 사제폭탄 두 개를 만들어 대회 전날 밤 대회장 뒤편 화장실 쪽에 설치하였다. 폭탄은 대회 당일인 7월 24일 밤 9시경 박춘금이 시국 강연을 위해 등단하고 얼마 뒤에 터졌고 그것으로 대회는 중단되고 말았다. 경성부민관 폭탄의거는 해방을 한 달도 채 남겨두지 않은 시기에 꺾일 줄 모르는 민족의 독립 의지를 안팎에 떨친 사건이었다. 현재는 서울시의회 부지로 폭탄의거지임을 알리는 표지석이 설치되어 있다.","<a href=""http://mfis.mpva.go.kr/memorial/movementView.do?sid=703&memorialType=true&gubunCode=ALL&pageIndex=1&searchCondition=%EC%A0%9C%EB%AA%A9&searchKeyword=%EA%B2%BD%EC%84%B1"" target=""_blank"" title=""새창 : 현충시설정보서비스 홈페이지로 이동"">http://mfis.mpva.go.kr</a>",상시 개방,매주 토요일~일요일 / 법정공휴일,,
2500229,12,경의선책거리,서울특별시 마포구 와우산로37길 35,,13,126.9290369242,37.5564989709,,http://tong.visitkorea.or.kr/cms/resource/79/3381279_image2_1.jpg,Type1,VE,VE04,VE040100,"경의선 책거리는 18세기 후반, 책을 통해 문치(文治)를 하려는 정조시대의 책(冊)가도 문화를 현대적 의미로 되살려, 시민들에게 책을 통한 복합문화공간으로 제공하고자 경의선 폐선부지인 홍대 복합역사에 조성한 책 테마거리다. 경의선 책거리를 찾는 시민들이 세상에 나온 책 한 권의 위대한 가치를 통해 건강한 삶의 지혜를 함께 나누고 꿈을 실현하며, 마포의 출판 산업 부가가치를 높이는 출발 거점으로 발전하길 바라는 의미로 2016년 10월 조성이 완료되었다.","<a href=""https://www.instagram.com/gbookst/"" target=""_blank"" title=""새창 : 경의선책거리 인스타그램으로 이동"">https://www.instagram.com/gbookst</a>",11:00~20:00,매주 월요일,,
1604784,12,경희궁 흥화문,서울특별시 종로구 새문안로 55 (신문로2가),,23,126.9707771853,37.5698981615,,http://tong.visitkorea.or.kr/cms/resource/55/3384855_image2_1.JPG,Type3,HS,HS01,HS010300,"흥화문은 경희궁의 정문이다. 원래 경희궁으로 들어가는 문읜 5개로, 정문인 흥화문 외에도 동쪽에 흥원문, 서쪽에 숭의문, 남쪽에 개양문, 북쪽에 무덕문이 있었다. 창건 당시 경희궁은 창경궁 제도를 따라서 규모를 작게 하여 정문도 단층으로 세웠다.
경희궁 근처 얕은 고개를 ‘야주개’라 하였는데, 이는 흥화문의 현판 글씨가 명필이라 밤에도 빛이나 그 광채가 고개까지 훤하게 비추었다 하여 붙여진 이름이다.
흥화문은 원래 금천교 동쪽, 즉 현재의 구세군회관 빌딩 자리에서 동쪽인 종로를 향하게 지었다. 그러나 일제강점기 들어 1915년에 도로가 확장됨에 따라 흥화문은 원래 위치에서 약간 뒤로 옮겨지면서 문의 방향도 도로와 나란하게 남향으로 바뀌었다. 1932년 이토 히로부미를 위한 사찰인 박문사를 건립할 때 정문으로 사용하기 위해 흥화문을 떼어갔다. 광복 이후 박문사가 폐지되고 그 자리에는 영빈관과 신라호텔이 들어서면서 그 정문으로 사용되기도 했다. 
1988년 서울시는 경희궁 복원 사업의 일환으로 흥화문을 경희궁터로 옮겨 왔는데, 옛 개양문이 있던 현재의 위치에 이전하여 복원하면서 궁궐 정문으로서의 역사성을 되살리고자 하였다.","<a href=""https://museum.seoul.go.kr/www/intro/annexIntro/annex_20/annex_20_01.jsp?sso=ok"" target=""_blank"" title=""새창 : 서울역사박물관으로 이동"">https://museum.seoul.go.kr</a>",09:00~18:00 (입장마감 17:30),매주 월요일 / 1월 1일,,
1604824,12,경희궁공원,서울특별시 종로구 새문안로 55 (신문로2가),,23,126.9707771853,37.5698981615,,http://tong.visitkorea.or.kr/cms/resource/98/3531398_image2_1.jpg,Type1,VE,VE03,VE030500,"경희궁공원은 서울의 역사와 자연이 어우러진 아름다운 공간이다. 이곳은 조선 시대의 경희궁을 중심으로 조성되었으며, 고풍스러운 건축물과 함께 다양한 식물들이 조화를 이루고 있다. 공원 내에는 산책로와 잔디밭이 마련되어 있어 시민들이 고궁의 정취를 느끼며 휴식을 취할 수 있다. 역사와 자연이 어우러진 문화재 보호 공간으로 많은 방문객들의 사랑을 받고 있다.",,09:00~18:00 (입장 마감 17:30),매주 월요일 / 1월 1일,,
2611568,12,계남근린공원,서울특별시 양천구 중앙로17길 21 (신정동),,19,117.9925662504,19.6944274800,,http://tong.visitkorea.or.kr/cms/resource/26/3568226_image2_1.jpg,Type1,VE,VE03,VE030500,"1971년에 개원한 근린공원으로 다양한 운동시설과 야외무대, 약수터 등이 있다. 특히 무장애 숲길 1,023m를 포함한 둘레길 4㎞구간이 개통되어 있다. 친환경 무장애 숲길은 아기자기하게 오르내리며 환상적인 단풍길을 즐길 수 있게 꾸몄고, 야간에도 안전하게 산책할 수 있도록 친환경 발광다이오드 조명등을 곳곳에 설치했다. 신정산 숲 속 여행은 숲해설가와 함께 체험활동 위주의 프로그램으로 자연과 호흡하고 심신을 재충전할 수 있다. 또한 신정산 초입에 아이들이 자연을 만끽할 수 있는 유아숲 체험장이 있어 생태교육 전문가의 친절한 설명은 숲 속 나들이의 즐거움을 더해준다. 이 외에도 숲 속 도서관, 모험놀이공간, 감성체험공간, 상상놀이공간, 숲 체험공간 등이 있다. 공원 내에는 사람들의 이목을 끄는 우렁 바위가 있다. 이 우렁 바위는 옛날에 울었다는 전설을 간직한 바위로 길마(소 등받이)처럼 생겼다 하여 길마 바위라 부르기도 한다.",,상시 개방,연중무휴,,
2591797,12,고척근린공원,서울특별시 구로구 고척로45길 39 (고척동),,7,126.8533341175,37.5066367467,,http://tong.visitkorea.or.kr/cms/resource/27/3400227_image2_1.JPG,Type3,VE,VE03,VE030400,"고척근린공원은 서울특별시 구로구 고척동에 위치한 자연적인 야산을 공원으로 조성한 구로구의 대표적인 공원이다. 도심 속에 자연과 휴식이 어우러진 공간으로, 지역 주민들에게 휴식과 여가를 제공한다. 
고척근린공원은 넓은 잔디밭, 산책로, 운동기구, 어린이 놀이시설 등 다양한 시설이 구비되어 있으며, 가족 단위 방문객들에게 특히 인기가 많다. 또한, 공원 내에는 산책을 하거나 운동을 즐길 수 있는 공간이 마련되어 있어 주민들의 건강한 라이프스타일을 지원한다.","<a href=""https://www.guro.go.kr/www/contents.do?key=2996"" target=""_blank"" title=""새창 : 구로구청으로 이동"">https://www.guro.go.kr/</a>",상시 개방,연중무휴,,
2591799,12,고척동 고인돌,서울특별시 구로구 고척동,산 8,7,126.8473068338,37.5086169645,,http://tong.visitkorea.or.kr/cms/resource/28/3401728_image2_1.JPG,Type3,HS,HS01,HS011000,"구로구 고척동에 있는 청동기시대 무덤이다. 고척고등학교 뒷산 삼국시대의 토성인 신정리 토성 경내에 있다. 이 고인돌은 1998년 서울대 조사단에 의해 처음 발견되었는데 그 후 실시된 관련분야 교수들의 조사에서 덮개돌의 주변에 덮개돌과 동일한 형태의 돌들이 존재하지 않는 것으로 보아 원래의 위치에서 벗어난 것으로 보인다는 의견이 제시되었다. 또한 규모는 크지 않지만, 돌방이 확인되었으며, 굄돌 등의 배치 상황으로 미루어 고인돌로 추정케 한다. 고척동 고인돌은 구로구에서 유일한 고인돌로서 주변의 고척동 유물산포지 등과 더불어 청동기시대 주변 지역 일대의 문화상 이해에 좋은 자료가 된다. 이곳은 구로올레길 코스에 있으므로 가볍게 산책을 하면서 함께 둘러보는 것도 좋다.","<a href=""https://www.guro.go.kr/www/contents.do?key=3008&"" target=""_blank"" title=""새창 : 구로구청으로 이동"">https://www.guro.go.kr</a>",상시 개방,연중무휴,,
2453179,12,고촌이종근기념관,서울특별시 서대문구 충정로 8,,14,126.9631392793,37.5597464264,,http://tong.visitkorea.or.kr/cms/resource/45/3462945_image2_1.jpg,Type3,EX,EX06,EX061000,"고촌이종근기념관은 종근당 창업자인 고촌 이종근 회장의 철학과 업적을 기리고, 실패를 두려워하지 않는 도전의 자세와 검소한 삶 속에서도 어려운 이웃과 함께했던 나눔의 정신을 남기고자 마련된 종근당 창업 전시관이다.
또한 고촌이종근기념관은 국내외 의약사를 함께 관람할 수 있는 제약박물관이기도 하다. 고촌 이종근 회장의 일생과 종근당의 발전 과정, 국내외 의약사의 흐름을 이해할 수 있는 제1전시실과 고촌의 도전과 나눔의 정신 등을 직접 체험해 볼 수 있는 체험관 형식의 제2전시실로 구성되어 있다.","<a href=""https://www.kochonhall.or.kr/"" target=""_blank"" title=""새창 : 고촌홀 홈페이지로 이동"">https://www.kochonhall.or.kr/</a>","- 하절기(3~10월) 10:00~17:00<br>
- 동절기(11~2월) 10:00~16:00",국경일 / 공휴일,,
749192,12,공덕동 족발골목,서울특별시 마포구 만리재로 19 (공덕동),,13,126.9533433790,37.5445785695,,http://tong.visitkorea.or.kr/cms/resource/23/3384423_image2_1.JPG,Type3,VE,VE04,VE040100,"시장 골목 한쪽에서 시작한 족발집이 골목을 이루고 시장 상권보다 오히려 더 활발하게 손님을 모으고 있는 곳이 있다. 그곳이 바로 공덕동 족발골목이다. 30년 전 시장 한쪽에 자리 잡은 2평짜리 식당이 족발골목의 뿌리다. 당시 시장 사람들의 식사를 위해 순댓국을 끓였고 팍팍한 생활을 달랠 술안주로 족발을 만들어 냈다. 순댓국과 족발은 그렇게 시장 사람들의 속과 마음을 달래주면서 점차 식당이 잘 되자 시장 안의 가방 가게가 업종을 변경해 순대와 족발을 팔기 시작했다. 이렇게 주변에 족발집이 늘어나면서 어느덧 이 골목이 족발 골목으로 자리 잡았다. 세월이 흐르며 손님이 시장 사람들에서 학생과 주변 직장인들로 늘어가며, 손님들은 낮에는 나이 드신 분들이 많고 저녁에는 젊은 사람들이 많다. 나이 든 분들은 청춘 시절, 이 골목에서 술잔을 나누었던 추억을 찾아오고 젊은이들은 그들의 추억을 만들며 활기찬 밤 술자리를 만들어 간다. 손님도 세대가 바뀌었지만 이 골목 식당 가운데는 대를 이어 순댓국을 팔고 족발을 만드는 집도 있으니 오래된 옛 맛을 찾아가  보는 것도 괜찮다.","<a href=""https://korean.visitseoul.net/restaurants/%EC%A1%B1%EB%B0%9C%EA%B3%A8%EB%AA%A9_/28336"" target=""_blank"" title=""새창 : 비짓서울로 이동"">https://korean.visitseoul.net/</a>",점포 별로 상이함,점포 별로 상이함,,
3428259,12,관악도시농업공원,서울특별시 관악구 광신길 142 (신림동),,5,126.9271202346,37.4649234640,,http://tong.visitkorea.or.kr/cms/resource/77/3428277_image2_1.jpg,Type1,NA,NA05,NA050100,"서울특별시 관악구에 있는 도시농원업으로, 도시민들에게 농업 체험의 기회를 제공하고 자연과 교감을 느끼면서 보호적인 삶의 방식을 체험할 수 있는 공간이다. 이 곳은 도시안에서도 농업 활동을 체험할 수 있도록 다양한 시설과 프로그램을 공원에 있도록 하기 위해 나만의 링과 교육의 장으로 자리 잡고 있다.",cityfarmer.seoul.go.kr/,수요일 ~ 일요일 10:00~17:00,"매주 월, 화, 공휴일 휴무",,
126480,12,관악산,서울특별시 관악구 관악로,대학동 일대,5,126.9540987991,37.4484036407,,http://tong.visitkorea.or.kr/cms/resource/74/3589374_image2_1.jpg,Type1,NA,NA01,NA010100,"서울시 한강 남쪽에 솟아 있는 관악산(632.2m)은 산 정상부의 바위가 갓을 쓰고 있는 모습을 닮아 관악산이라고 부르게 되었다. 1973년 관악구가 영등포구에서 분구되면서 산 이름이 구의 명칭이 되었다. 1968년에 도시자연공원으로 지정되었으며 오늘날에는 수많은 서울 시민이 즐겨 찾는 휴식처로 서울의 명소가 되었다. 관악산 곳곳에 드러난 암봉들이 깊은 골짜기와 어울려 험준한 산세를 이루고 있는 관악산은 도심에서 가까워 누구나 하루 일정으로 산에 오를 수 있으며, 봄에는 관악산 입구 쪽으로 벚꽃이 만발하고, 철쭉이 필 때는 철쭉제가 열리기도 한다. 여름의 짙은 녹음과, 계곡 깊은 곳에 동폭포, 서폭포의 물소리가 장엄하고 가을에는 단풍, 겨울에는 설경이 명산 관악의 면모를 자랑하고 있다. 관악산 정상에는 조선 태조 이성계가 서울을 도읍지로 정할 때 연주사와 원각사 두 절을 지어 화환에 대처했다고 하며, 정상의 원각사와 연주암을 비롯하여 크고 작은 사찰과 암자가 있다. 아슬아슬한 벼랑 위에 자리 잡고 있는 연주대는 관악산의 모든 등산로가 집결하는 곳이다. 관악산에는 무장애 숲길 등반코스가 조성되어 있고, 등산로도 여러 곳이 있다. 관악구 신림동 서울대학교 입구에서 시작하는 등산로가 대표적이고, 경기도 과천시 중앙동 과천중학교 뒤편으로 오르는 길이 있다.","<a href=""https://korean.visitseoul.net/nature/%EA%B4%80%EC%95%85%EC%82%B0_/4399"" target=""_blank"" title=""새창 : 비짓서울 홈페이지로 이동"">https://korean.visitseoul.net/</a>",,연중무휴,,
